283|¿Prefieres describir tu solicitud?|Möchten Sie Ihre Anfrage lieber beschreiben?|Preferisci descrivere la tua richiesta?
284|Utiliza Smart Merch para combinar cantidad, presupuesto, plazo y tipo de producto.|Kombinieren Sie mit Smart Merch Menge, Budget, Termin und Produkttyp.|Usa Smart Merch per combinare quantità, budget, scadenza e tipo di prodotto.
285|Kits de bienvenida, eventos, congresos, Navidad y programas para empleados.|Willkommenspakete, Veranstaltungen, Konferenzen, Weihnachten und Mitarbeiterprogramme.|Kit di benvenuto, eventi, congressi, Natale e programmi per dipendenti.
286|Hostelería, universidades, startups, salud, restauración y otros sectores.|Hotellerie, Hochschulen, Start-ups, Gesundheit, Gastronomie und weitere Branchen.|Ospitalità, università, startup, sanità, ristorazione e altri settori.
287|Contenidos para comparar presupuesto, cantidad, personalización y sostenibilidad.|Inhalte zum Vergleich von Budget, Menge, Personalisierung und Nachhaltigkeit.|Contenuti per confrontare budget, quantità, personalizzazione e sostenibilità.
288|Selecciones 360|360-Auswahl|Selezioni 360
289|Selecciones por contexto con criterios explícitos y opciones del catálogo activo.|Kontextbezogene Auswahlseiten mit klaren Kriterien und Optionen aus dem aktiven Katalog.|Selezioni per contesto con criteri espliciti e opzioni del catalogo attivo.
290|Por objetivo empresarial|Nach Geschäftsziel|Per obiettivo aziendale
291|Regalos para empresas, obsequios corporativos, tecnología, opciones prémium y personalización con logotipo.|Firmengeschenke, Unternehmenspräsente, Technologie, Premiumoptionen und Personalisierung mit Logo.|Regali aziendali, omaggi d'impresa, tecnologia, opzioni premium e personalizzazione con logo.
292|Por presupuesto unitario|Nach Stückbudget|Per budget unitario
293|Empieza por productos cuyos precios base encajen en un límite definido.|Beginnen Sie mit Produkten, deren Grundpreis innerhalb einer festgelegten Grenze liegt.|Inizia dai prodotti il cui prezzo base rientra in un limite definito.
294|Por cantidad|Nach Menge|Per quantità
295|Acota el catálogo a los productos con cantidades mínimas compatibles.|Grenzen Sie den Katalog auf Produkte mit passenden Mindestmengen ein.|Restringi il catalogo ai prodotti con quantità minime compatibili.
296|Por ocasión|Nach Anlass|Per occasione
297|Explora necesidades para clientes, ferias, actividades de equipo y lanzamientos.|Entdecken Sie Anforderungen für Kunden, Messen, Teambuilding und Produkteinführungen.|Esplora esigenze per clienti, fiere, team building e lanci.
298|Merchandising sostenible y productos promocionales ecológicos|Nachhaltiges Merchandising und umweltfreundliche Werbeartikel|Merchandising sostenibile e prodotti promozionali ecologici
299|Compara productos según los materiales, las certificaciones, la reutilización y los datos medioambientales disponibles.|Vergleichen Sie Produkte anhand verfügbarer Angaben zu Materialien, Zertifizierungen, Wiederverwendbarkeit und Umwelt.|Confronta i prodotti in base ai materiali, alle certificazioni, alla riutilizzabilità e ai dati ambientali disponibili.
300|Centro 360 · Sostenibilidad|360-Bereich · Nachhaltigkeit|Centro 360 · Sostenibilità
301|Compara la sostenibilidad con información concreta|Nachhaltigkeit anhand konkreter Informationen vergleichen|Confronta la sostenibilità con informazioni concrete
302|La elección de merchandising sostenible debe basarse en los datos disponibles de cada producto: composición, materiales, certificaciones, reutilización e indicadores medioambientales. No todos los productos ofrecen el mismo nivel de información.|Die Auswahl nachhaltigen Merchandisings sollte auf den verfügbaren Produktdaten beruhen: Zusammensetzung, Materialien, Zertifizierungen, Wiederverwendbarkeit und Umweltkennzahlen. Nicht zu jedem Produkt liegen gleich viele Informationen vor.|La scelta di merchandising sostenibile deve basarsi sui dati disponibili per ogni prodotto: composizione, materiali, certificazioni, riutilizzabilità e indicatori ambientali. Non tutti i prodotti offrono lo stesso livello di informazioni.
303|Materiales reciclados|Recycelte Materialien|Materiali riciclati
304|La composición y el porcentaje indicados en el producto ayudan a contextualizar el uso de materiales reciclados.|Die am Produkt angegebene Zusammensetzung und der Anteil helfen, den Einsatz recycelter Materialien einzuordnen.|La composizione e la percentuale indicate sul prodotto aiutano a contestualizzare l'uso di materiali riciclati.
305|FSC™|FSC™|FSC™
306|La información FSC identifica los productos para los que el proveedor declara el uso de materiales con certificación FSC™.|FSC-Angaben kennzeichnen Produkte, für die der Lieferant die Verwendung FSC™-zertifizierter Materialien angibt.|Le informazioni FSC identificano i prodotti per i quali il fornitore dichiara l'uso di materiali certificati FSC™.
307|Our Nature|Our Nature|Our Nature
308|El catálogo puede identificar productos de la gama Our Nature del proveedor.|Der Katalog kann Produkte aus der Our-Nature-Reihe des Lieferanten ausweisen.|Il catalogo può identificare prodotti appartenenti alla gamma Our Nature del fornitore.
309|CO₂|CO₂|CO₂
310|Cuando está disponible, el CO₂ se muestra en kg de CO₂ equivalente como dato adicional de comparación.|Falls verfügbar, wird CO₂ als zusätzlicher Vergleichswert in kg CO₂-Äquivalent angegeben.|Quando disponibile, il CO₂ viene mostrato in kg di CO₂ equivalente come ulteriore dato di confronto.
311|H₂O|H₂O|H₂O
312|Cuando está disponible, el H₂O aporta información sobre el consumo de agua asociado al producto.|Falls verfügbar, ergänzt H₂O die Angaben zum Wasserverbrauch des Produkts.|Quando disponibile, H₂O aggiunge informazioni sull'uso di acqua associato al prodotto.
313|Empieza por la composición|Mit der Zusammensetzung beginnen|Inizia dalla composizione
314|Compara el material declarado, la composición y las propiedades del producto. Utiliza términos como reciclado o FSC solo cuando correspondan a esa referencia concreta.|Vergleichen Sie das deklarierte Material, die Zusammensetzung und die Produkteigenschaften. Verwenden Sie Begriffe wie recycelt oder FSC nur, wenn sie auf die konkrete Referenz zutreffen.|Confronta materiale dichiarato, composizione e proprietà del prodotto. Usa termini come riciclato o FSC solo quando si applicano a quello specifico riferimento.
315|Considera el uso real|Die tatsächliche Nutzung berücksichtigen|Considera l'uso reale
316|La durabilidad, la reutilización y la adecuación al destinatario también importan. El producto debe ser adecuado para su uso previsto.|Langlebigkeit, Wiederverwendbarkeit und Eignung für den Empfänger sind ebenfalls wichtig. Das Produkt sollte zum vorgesehenen Einsatz passen.|Contano anche durata, riutilizzabilità e adeguatezza al destinatario. Il prodotto deve essere adatto all'uso previsto.
317|Comunica solo afirmaciones documentadas|Nur belegte Aussagen kommunizieren|Comunica solo affermazioni documentate
318|Evita ampliar las afirmaciones medioambientales. La comunicación debe reflejar los materiales, las certificaciones y los indicadores realmente proporcionados.|Weiten Sie Umweltaussagen nicht aus. Die Kommunikation sollte den tatsächlich angegebenen Materialien, Zertifizierungen und Kennzahlen entsprechen.|Evita di ampliare le affermazioni ambientali. La comunicazione deve rispecchiare materiali, certificazioni e indicatori effettivamente forniti.
319|¿Quieres explorar materiales específicos?|Möchten Sie bestimmte Materialien entdecken?|Vuoi esplorare materiali specifici?
320|Busca reciclado, rPET, bambú, corcho o FSC y confirma siempre los detalles en la página del producto.|Suchen Sie nach recycelt, rPET, Bambus, Kork oder FSC und prüfen Sie stets die Details auf der Produktseite.|Cerca riciclato, rPET, bambù, sughero o FSC e verifica sempre i dettagli nella pagina del prodotto.
321|Leer la guía: regalos ecológicos y sostenibles|Ratgeber lesen: umweltfreundliche und nachhaltige Geschenke|Leggi la guida: regali ecologici e sostenibili
322|Contacto y facturación|Kontakt und Rechnung|Contatti e fatturazione
323|Nombre completo|Vollständiger Name|Nome completo
324|Correo de la cuenta|E-Mail des Kontos|E-mail dell'account
325|Empresa|Unternehmen|Azienda
326|Número fiscal|Steuernummer|Codice fiscale / Partita IVA
327|Correo de facturación|E-Mail für Rechnungen|E-mail di fatturazione
328|Guardando...|Wird gespeichert...|Salvataggio...
329|Guardar datos|Angaben speichern|Salva i dati
330|Direcciones de entrega|Lieferadressen|Indirizzi di consegna
331|Direcciones de facturación|Rechnungsadressen|Indirizzi di fatturazione
332|Añadir dirección|Adresse hinzufügen|Aggiungi indirizzo
333|Tipo|Typ|Tipo
334|Entrega|Lieferung|Consegna
335|Facturación|Rechnung|Fatturazione
336|Nombre de la dirección|Adressbezeichnung|Nome dell'indirizzo
337|Ej.: Oficina, almacén|Z. B. Büro, Lager|Es. Ufficio, magazzino
338|Persona de contacto|Kontaktperson|Persona di contatto
339|Correo de contacto|Kontakt-E-Mail|E-mail di contatto
340|Teléfono de contacto|Kontakttelefon|Telefono di contatto
341|Dirección, línea 2|Adresszusatz|Indirizzo, riga 2
342|Planta, puerta, almacén...|Etage, Tür, Lager...|Piano, porta, magazzino...
343|Código postal|Postleitzahl|CAP
344|Localidad|Ort|Città
345|Distrito|Bezirk|Provincia
346|País|Land|Paese
347|Definir como dirección preferida para este tipo|Als bevorzugte Adresse dieses Typs festlegen|Imposta come indirizzo preferito per questo tipo
348|Preferida|Bevorzugt|Preferito
349|Eliminar dirección|Adresse löschen|Elimina indirizzo
350|Definir como preferida|Als bevorzugt festlegen|Imposta come preferito
351|Todavía no tienes direcciones guardadas.|Sie haben noch keine Adressen gespeichert.|Non hai ancora indirizzi salvati.
352|Tu sesión ha caducado. Inicia sesión de nuevo.|Ihre Sitzung ist abgelaufen. Melden Sie sich erneut an.|La sessione è scaduta. Accedi di nuovo.
353|Indica tu nombre completo.|Geben Sie Ihren vollständigen Namen ein.|Inserisci il tuo nome completo.
354|Indica un correo de facturación válido.|Geben Sie eine gültige E-Mail-Adresse für Rechnungen ein.|Inserisci un'e-mail di fatturazione valida.
355|No se han podido guardar los datos de la cuenta.|Die Kontodaten konnten nicht gespeichert werden.|Impossibile salvare i dati dell'account.
356|Datos de la cuenta actualizados correctamente.|Kontodaten erfolgreich aktualisiert.|Dati dell'account aggiornati correttamente.
357|Completa los campos obligatorios de la dirección.|Füllen Sie die Pflichtfelder der Adresse aus.|Completa i campi obbligatori dell'indirizzo.
358|No se ha podido actualizar la dirección preferida.|Die bevorzugte Adresse konnte nicht aktualisiert werden.|Impossibile aggiornare l'indirizzo preferito.
359|No se ha podido guardar la dirección.|Die Adresse konnte nicht gespeichert werden.|Impossibile salvare l'indirizzo.
360|Dirección de facturación guardada.|Rechnungsadresse gespeichert.|Indirizzo di fatturazione salvato.
361|Dirección de entrega guardada.|Lieferadresse gespeichert.|Indirizzo di consegna salvato.
362|Nuevo|Neu|Nuovo
363|En revisión|In Prüfung|In esame
364|Propuesta enviada|Angebot gesendet|Proposta inviata
365|Negociación|Verhandlung|Negoziazione
366|Ganado|Gewonnen|Acquisito
367|Perdido|Verloren|Perso
368|Cancelado|Storniert|Annullato
369|360 Merchandising — Productos promocionales personalizados|360 Merchandising — Personalisierte Werbeartikel|360 Merchandising — Prodotti promozionali personalizzati
370|Tienda online de productos promocionales personalizados, merchandising corporativo, ropa de marca y regalos empresariales para empresas y particulares.|Onlineshop für personalisierte Werbeartikel, Unternehmensmerchandising, Markenkleidung und Firmengeschenke für Unternehmen und Privatpersonen.|Negozio online di prodotti promozionali personalizzati, merchandising aziendale, abbigliamento con logo e regali aziendali per imprese e privati.
371|360 Merchandising — La forma inteligente de comprar merchandising|360 Merchandising — Merchandising clever einkaufen|360 Merchandising — Il modo intelligente di acquistare merchandising
372|Descubre merchandising, productos promocionales y regalos empresariales personalizados para tu empresa.|Entdecken Sie personalisiertes Merchandising, Werbeartikel und Firmengeschenke für Ihr Unternehmen.|Scopri merchandising, prodotti promozionali e regali aziendali personalizzati per la tua impresa.
373|La forma inteligente de comprar merchandising.|Merchandising clever einkaufen.|Il modo intelligente di acquistare merchandising.
374|merchandising personalizado|personalisiertes Merchandising|merchandising personalizzato
375|productos promocionales|Werbeartikel|prodotti promozionali
376|merchandising corporativo|Unternehmensmerchandising|merchandising aziendale
377|regalos empresariales|Firmengeschenke|regali aziendali
378|ropa personalizada|personalisierte Kleidung|abbigliamento personalizzato
379|productos de marca|Markenprodukte|prodotti con marchio
380|Europa|Europa|Europa
381|360 Merchandising — Merchandising personalizado y regalos corporativos|360 Merchandising — Personalisiertes Merchandising und Firmengeschenke|360 Merchandising — Merchandising personalizzato e regali aziendali
382|Encuentra merchandising personalizado, productos promocionales, regalos corporativos y ropa de marca con búsqueda inteligente, precios por cantidad y personalización.|Finden Sie personalisiertes Merchandising, Werbeartikel, Firmengeschenke und Markenkleidung mit intelligenter Suche, Mengenpreisen und Personalisierung.|Trova merchandising personalizzato, prodotti promozionali, regali aziendali e abbigliamento con logo grazie alla ricerca intelligente, ai prezzi per quantità e alla personalizzazione.
383|Agendas y planificadores|Kalender und Planer|Agende e planner
384|Botellas y tazas|Trinkgefäße|Bottiglie e tazze
385|Hogar|Zuhause|Casa
386|Infantil|Kinder|Bambini
387|Deporte y aire libre|Sport und Outdoor|Sport e attività all'aperto
388|Mochilas, bolsas y maletines|Rucksäcke, Taschen und Aktentaschen|Zaini, borse e cartelle
389|Tecnología|Technologie|Tecnologia
390|Escritura|Schreibwaren|Scrittura
391|Kits|Sets|Kit
392|Cuidado personal y viajes|Körperpflege und Reisen|Cura personale e viaggi
393|Sol y lluvia|Sonne und Regen|Sole e pioggia
394|Navidad|Weihnachten|Natale
395|Llaveros y lanyards|Schlüsselanhänger und Schlüsselbänder|Portachiavi e laccetti
396|Pins personalizados|Personalisierte Pins|Spille personalizzate
397|Doming|Doming|Doming
398|Expositores|Vitrinen|Espositori
399|Más por descubrir|Mehr entdecken|Altro da scoprire
400|Cada categoría, para cada idea.|Jede Kategorie, für jede Idee.|Ogni categoria, per ogni idea.
401|Datos del cliente|Kundendaten|Dati del cliente
402|Datos utilizados en el pedido y la facturación.|Angaben für Bestellung und Rechnung.|Dati utilizzati per l'ordine e la fatturazione.
403|Nombre completo *|Vollständiger Name *|Nome completo *
404|Nombre de la empresa|Unternehmensname|Nome dell'azienda
405|Guardar en la cuenta|Im Konto speichern|Salva nell'account
406|Estos datos estarán disponibles para futuros pedidos y podrán modificarse en Mi cuenta.|Diese Angaben stehen für künftige Bestellungen bereit und können unter „Mein Konto“ geändert werden.|Questi dati saranno disponibili per i prossimi ordini e potranno essere modificati in Il mio account.
407|Definir como mi dirección de entrega preferida.|Als meine bevorzugte Lieferadresse festlegen.|Imposta come mio indirizzo di consegna preferito.
408|Utilizar también esta dirección para la facturación.|Diese Adresse auch als Rechnungsadresse verwenden.|Usa questo indirizzo anche per la fatturazione.
409|Elige una dirección guardada o añade una nueva.|Wählen Sie eine gespeicherte Adresse oder fügen Sie eine neue hinzu.|Scegli un indirizzo salvato o aggiungine uno nuovo.
410|Utilizar dirección guardada|Gespeicherte Adresse verwenden|Usa indirizzo salvato
411|Elige una dirección vinculada a tu cuenta.|Wählen Sie eine mit Ihrem Konto verknüpfte Adresse.|Scegli un indirizzo collegato al tuo account.
412|Añadir nueva dirección|Neue Adresse hinzufügen|Aggiungi nuovo indirizzo
413|Guardar una nueva dirección de entrega.|Neue Lieferadresse speichern.|Salva un nuovo indirizzo di consegna.
414|Nombre de quien recibe|Name des Empfängers|Nome del destinatario
415|Empresa en la dirección|Unternehmen an der Adresse|Azienda all'indirizzo
416|Empresa u organización|Unternehmen oder Organisation|Azienda o organizzazione
417|Teléfono para la entrega|Telefon für die Lieferung|Telefono per la consegna
418|Dirección *|Adresse *|Indirizzo *
419|Calle, número y piso|Straße, Hausnummer und Zusatz|Via, numero civico e interno
420|Dirección adicional|Adresszusatz|Indirizzo aggiuntivo
421|Almacén, planta, puerta u otros datos|Lager, Etage, Tür oder weitere Angaben|Magazzino, piano, porta o altri dettagli
422|Código postal *|Postleitzahl *|CAP *
423|Localidad *|Ort *|Città *
424|Región|Region|Regione
425|Maqueta y observaciones|Druckfreigabe und Hinweise|Bozza e note
426|Indica dónde deseas recibir la solicitud de aprobación de la maqueta.|Geben Sie an, wohin die Anfrage zur Druckfreigabe gesendet werden soll.|Indica dove desideri ricevere la richiesta di approvazione della bozza.
427|Correo para aprobar la maqueta *|E-Mail für die Druckfreigabe *|E-mail per l'approvazione della bozza *
428|Observaciones del pedido|Bestellhinweise|Note dell'ordine
429|Información adicional de entrega, instrucciones de acceso u otros datos relevantes.|Zusätzliche Lieferinformationen, Zugangshinweise oder weitere wichtige Angaben.|Informazioni aggiuntive sulla consegna, istruzioni di accesso o altri dettagli rilevanti.
430|Guardando destino...|Lieferadresse wird gespeichert...|Salvataggio della destinazione...
431|Continuar al envío|Weiter zum Versand|Continua alla spedizione
432|Confirmo los datos del pedido|Ich bestätige die Bestelldaten|Confermo i dati dell'ordine
433|He revisado los productos, cantidades, personalización, dirección, envío e importe final del pedido.|Ich habe Produkte, Mengen, Personalisierung, Adresse, Versand und den endgültigen Bestellbetrag geprüft.|Ho controllato prodotti, quantità, personalizzazione, indirizzo, spedizione e importo finale dell'ordine.
434|Pago protegido por Stripe|Zahlung durch Stripe geschützt|Pagamento protetto da Stripe
435|Serás redirigido a la página de pago seguro de Stripe. El pedido solo se confirma tras la aprobación del pago.|Sie werden zur sicheren Zahlungsseite von Stripe weitergeleitet. Die Bestellung wird erst nach Zahlungsfreigabe bestätigt.|Verrai reindirizzato alla pagina di pagamento sicuro di Stripe. L'ordine viene confermato solo dopo l'approvazione del pagamento.
436|Preparando el pago...|Zahlung wird vorbereitet...|Preparazione del pagamento...
437|Pagar pedido|Bestellung bezahlen|Paga l'ordine
438|Método de envío|Versandart|Metodo di spedizione
439|Elige cómo deseas recibir el pedido.|Wählen Sie, wie Sie die Bestellung erhalten möchten.|Scegli come desideri ricevere l'ordine.
440|Envío gestionado por la tienda|Versand durch den Shop|Spedizione gestita dal negozio
441|El pedido se envía a la dirección indicada en el paso anterior.|Die Bestellung wird an die im vorherigen Schritt angegebene Adresse gesendet.|L'ordine viene inviato all'indirizzo indicato nel passaggio precedente.
442|Estimación: de 1 a 3 días laborables|Schätzung: 1 bis 3 Werktage|Stima: da 1 a 3 giorni lavorativi
443|Origen: Portugal|Herkunft: Portugal|Origine: Portogallo
444|Coste estimado|Geschätzte Kosten|Costo stimato
445|Envío gratis en pedidos de {0} o más.|Kostenloser Versand ab einem Bestellwert von {0}.|Spedizione gratuita per ordini da {0}.
446|Añade {amount} más para conseguir envío gratis.|Fügen Sie weitere {amount} hinzu und erhalten Sie kostenlosen Versand.|Aggiungi altri {amount} per ottenere la spedizione gratuita.
447|Fecha preferida|Wunschtermin|Data preferita
448|Fecha de entrega preferida *|Gewünschter Liefertermin *|Data di consegna preferita *
449|Esta fecha se tendrá en cuenta en la planificación y se confirmará tras validar la producción y el envío.|Dieser Termin wird bei der Planung berücksichtigt und nach Prüfung von Produktion und Versand bestätigt.|Questa data verrà considerata nella pianificazione e confermata dopo la verifica di produzione e spedizione.
450|Fechas recomendadas|Empfohlene Termine|Date consigliate
451|La más próxima|Frühester Termin|Prima disponibile
452|día|Tag|giorno
453|días|Tage|giorni
454|La primera fecha disponible es el segundo día laborable a partir de hoy.|Der früheste verfügbare Termin ist der zweite Werktag nach heute.|La prima data disponibile è il secondo giorno lavorativo dopo oggi.
455|Acepto la entrega después de esta fecha|Ich akzeptiere eine Lieferung nach diesem Termin|Accetto la consegna dopo questa data
456|Autoriza el envío en cuanto el pedido esté listo, aunque haya pasado la fecha seleccionada.|Erlauben Sie den Versand, sobald die Bestellung bereit ist, auch wenn der gewählte Termin bereits verstrichen ist.|Autorizza la spedizione non appena l'ordine è pronto, anche se la data selezionata è già trascorsa.
457|Referencias e instrucciones|Referenzen und Hinweise|Riferimenti e istruzioni
458|Referencia interna|Interne Referenz|Riferimento interno
459|Instrucciones de envío|Versandhinweise|Istruzioni di spedizione
460|Horario de recepción, acceso de carga, contacto local u otras instrucciones.|Annahmezeiten, Ladezugang, Kontakt vor Ort oder weitere Hinweise.|Orari di ricevimento, accesso per lo scarico, contatto locale o altre istruzioni.
461|Total sin IVA|Gesamtbetrag ohne MwSt.|Totale IVA esclusa
462|Productos y personalización|Produkte und Personalisierung|Prodotti e personalizzazione
463|Guardando envío...|Versandangaben werden gespeichert...|Salvataggio della spedizione...
464|Continuar al pago|Weiter zur Zahlung|Continua al pagamento
465|Abrir calendario|Kalender öffnen|Apri calendario
466|Ej.: PO-2026-001, evento o centro de costes|Z. B. PO-2026-001, Veranstaltung oder Kostenstelle|Es. PO-2026-001, evento o centro di costo
467|No se ha podido guardar. Inténtalo de nuevo.|Speichern fehlgeschlagen. Bitte versuchen Sie es erneut.|Impossibile salvare. Riprova.
468|Información legal|Rechtliches|Informazioni legali
469|Términos y condiciones|Allgemeine Geschäftsbedingungen|Termini e condizioni
470|Política de privacidad|Datenschutzerklärung|Informativa sulla privacy
471|Política de cookies|Cookie-Richtlinie|Informativa sui cookie
472|Reembolsos y devoluciones|Rückerstattungen und Rücksendungen|Rimborsi e resi
473|Preferencias de cookies|Cookie-Einstellungen|Preferenze cookie
474|Envío gratis en pedidos de 50 € o más|Kostenloser Versand ab 50 € Bestellwert|Spedizione gratuita per ordini da 50 €
475|Navegación principal|Hauptnavigation|Navigazione principale
476|Novedades 360|360-Neuigkeiten|Novità 360
477|Ideas, productos y oportunidades para tu marca|Ideen, Produkte und Möglichkeiten für Ihre Marke|Idee, prodotti e opportunità per il tuo marchio
478|Recibe novedades seleccionadas, inspiración y contenidos útiles sobre merchandising. Sin ruido.|Erhalten Sie ausgewählte Neuheiten, Inspiration und nützliche Merchandising-Inhalte. Ohne unnötige Nachrichten.|Ricevi novità selezionate, ispirazione e contenuti utili sul merchandising. Senza messaggi superflui.
479|Nombre|Name|Nome
480|Dirección de correo electrónico|E-Mail-Adresse|Indirizzo e-mail
481|Suscribirse|Abonnieren|Iscriviti
482|Suscribiendo...|Anmeldung läuft...|Iscrizione in corso...
483|Acepto recibir la newsletter de 360 Merchandising y he leído la|Ich möchte den Newsletter von 360 Merchandising erhalten und habe die folgende Erklärung gelesen:|Acconsento a ricevere la newsletter di 360 Merchandising e ho letto la
484|Tus opciones de privacidad|Ihre Datenschutzeinstellungen|Le tue scelte sulla privacy
485|Utilizamos cookies esenciales para la tienda, el carrito, la autenticación y los pagos seguros. Con tu permiso, también utilizamos cookies de análisis y marketing.|Wir verwenden notwendige Cookies für den Shop, den Warenkorb, die Anmeldung und sichere Zahlungen. Mit Ihrer Einwilligung nutzen wir außerdem Analyse- und Marketing-Cookies.|Usiamo cookie essenziali per il negozio, il carrello, l'autenticazione e i pagamenti sicuri. Con il tuo consenso, usiamo anche cookie di analisi e marketing.
486|Aceptar todas|Alle akzeptieren|Accetta tutti
487|Rechazar|Ablehnen|Rifiuta
488|Solo esenciales|Nur notwendige|Solo essenziali
489|Añadir texto|Text hinzufügen|Aggiungi testo
490|El texto permanecerá dentro del área máxima de impresión.|Der Text bleibt innerhalb der maximalen Druckfläche.|Il testo rimarrà all'interno dell'area massima di stampa.
491|Escribir texto|Text eingeben|Inserisci testo
492|Fuente|Schriftart|Carattere
493|Tamaño|Größe|Dimensione
494|Negrita|Fett|Grassetto
495|Cursiva|Kursiv|Corsivo
496|Color|Farbe|Colore
497|Ajustar texto al área|Text an die Fläche anpassen|Adatta il testo all'area
498|Posición horizontal|Horizontale Position|Posizione orizzontale
499|Posición vertical|Vertikale Position|Posizione verticale
500|Rotación del texto|Textdrehung|Rotazione del testo
501|Maqueta no disponible para este producto|Vorschau für dieses Produkt nicht verfügbar|Bozza non disponibile per questo prodotto
502|Nuestro equipo puede revisar este producto y confirmar la mejor solución de personalización.|Unser Team kann dieses Produkt prüfen und die passende Personalisierungslösung bestätigen.|Il nostro team può esaminare questo prodotto e confermare la migliore soluzione di personalizzazione.
503|Tipo de personalización|Personalisierungsart|Tipo di personalizzazione
504|Área máxima|Maximale Fläche|Area massima
505|Cantidad|Menge|Quantità
506|La imagen muestra el área técnica facilitada por el proveedor. La posición final se validará antes de la producción.|Das Bild zeigt die vom Lieferanten angegebene technische Fläche. Die endgültige Position wird vor der Produktion geprüft.|L'immagine mostra l'area tecnica fornita dal fornitore. La posizione finale verrà verificata prima della produzione.
507|Producto seleccionado|Ausgewähltes Produkt|Prodotto selezionato
508|Color / talla|Farbe / Größe|Colore / taglia
509|Cambiar producto|Produkt ändern|Cambia prodotto
510|Opción seleccionada|Ausgewählte Option|Opzione selezionata
511|Ubicación por confirmar|Position noch zu bestätigen|Posizione da confermare
512|Producción estimada:|Voraussichtliche Produktion:|Produzione stimata:
513|Cargar logotipo|Logo hochladen|Carica logo
514|Cargar archivo|Datei hochladen|Carica file
515|Archivo:|Datei:|File:
516|Ajustar dentro del área|Innerhalb der Fläche anpassen|Regola all'interno dell'area
517|Restablecer|Zurücksetzen|Ripristina
518|Reducir|Verkleinern|Riduci
519|Centrar|Zentrieren|Centra
520|Ampliar|Vergrößern|Ingrandisci
521|Ajustar al área máxima|An maximale Fläche anpassen|Adatta all'area massima
522|Horizontal|Horizontal|Orizzontale
523|Vertical|Vertikal|Verticale
524|Anchura|Breite|Larghezza
525|Rotación|Drehung|Rotazione
526|Colores de personalización|Personalisierungsfarben|Colori della personalizzazione
527|Elige el número de colores permitido por la técnica y define las referencias aplicadas a la simulación.|Wählen Sie die für die Technik zulässige Farbanzahl und legen Sie die in der Simulation verwendeten Farbreferenzen fest.|Scegli il numero di colori consentito dalla tecnica e imposta i riferimenti applicati alla simulazione.
528|Colores detectados en el logotipo|Im Logo erkannte Farben|Colori rilevati nel logo
529|Colores de impresión|Druckfarben|Colori di stampa
530|Sin seleccionar|Nicht ausgewählt|Non selezionato
531|Selecciona una referencia para el color|Wählen Sie eine Farbreferenz|Seleziona un riferimento per il colore
532|Los colores seleccionados ya se han aplicado a la simulación.|Die gewählten Farben sind bereits in der Simulation angewendet.|I colori selezionati sono già applicati alla simulazione.
533|Selecciona los colores de impresión necesarios para continuar.|Wählen Sie die erforderlichen Druckfarben, um fortzufahren.|Seleziona i colori di stampa richiesti per continuare.
534|Las referencias Pantone y la simulación en pantalla son orientativas. El color final se confirmará antes de la producción.|Pantone-Referenzen und die Bildschirmvorschau dienen der Orientierung. Die endgültige Farbe wird vor der Produktion bestätigt.|I riferimenti Pantone e la simulazione sullo schermo sono indicativi. Il colore finale verrà confermato prima della produzione.
535|Extras y observaciones|Extras und Hinweise|Extra e note
536|Necesito ayuda para preparar el logotipo|Ich benötige Hilfe bei der Logovorbereitung|Ho bisogno di aiuto per preparare il logo
537|Preparación de archivos estimada:|Geschätzte Dateivorbereitung:|Preparazione grafica stimata:
538|Quiero una prueba adicional de la maqueta|Ich möchte einen zusätzlichen Korrekturabzug|Desidero una prova grafica aggiuntiva
539|Prueba adicional estimada:|Geschätzter zusätzlicher Korrekturabzug:|Prova aggiuntiva stimata:
540|Personalización con nombres individuales|Personalisierung mit individuellen Namen|Personalizzazione con nomi individuali
541|Estimación por unidad:|Geschätzt pro Stück:|Stima per unità:
542|Ej.: Evento, campaña o cliente|Z. B. Veranstaltung, Kampagne oder Kunde|Es. Evento, campagna o cliente
543|Observaciones|Hinweise|Note
544|Ej.: Centrado, preferiblemente en blanco.|Z. B. Zentriert, vorzugsweise in Weiß.|Es. Centrato, preferibilmente in bianco.
545|Resumen de personalización|Personalisierungsübersicht|Riepilogo della personalizzazione
546|Personalización para|Personalisierung für|Personalizzazione per
547|unidad|Stück|unità
548|Ver todos los precios|Alle Preise ansehen|Vedi tutti i prezzi
549|El precio unitario de personalización disminuye con la cantidad seleccionada.|Der Stückpreis der Personalisierung sinkt mit der gewählten Menge.|Il prezzo unitario della personalizzazione diminuisce all'aumentare della quantità selezionata.
550|Desde|Ab|Da
551|ahorro por unidad|Ersparnis pro Stück|risparmio per unità
552|Comparar cantidades|Mengen vergleichen|Confronta quantità
553|Introducir otra cantidad|Andere Menge eingeben|Inserisci un'altra quantità
554|Cantidad necesaria|Benötigte Menge|Quantità richiesta
555|Producto / unidad|Produkt / Stück|Prodotto / unità
556|Subtotal de productos|Produktzwischensumme|Subtotale prodotti
557|Personalización / unidad|Personalisierung / Stück|Personalizzazione / unità
558|Subtotal de personalización|Personalisierungszwischensumme|Subtotale personalizzazione
559|Preparación (pago único)|Einrichtung (einmalig)|Preparazione (una tantum)
560|Total estimado|Geschätzter Gesamtbetrag|Totale stimato
